,Time,CPU_Percentage,Scripts,Number_scripts,Bloque,RAM_Percentage
68,1623430238,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
69,1623430239,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
70,1623430240,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
71,1623430241,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
72,1623430242,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
73,1623430243,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
74,1623430244,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
75,1623430245,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
76,1623430246,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
77,1623430247,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
78,1623430248,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
79,1623430249,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
80,1623430250,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
81,1623430251,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
82,1623430252,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
83,1623430253,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
84,1623430254,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
85,1623430255,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
86,1623430257,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
87,1623430258,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
88,1623430259,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
89,1623430260,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
90,1623430261,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
91,1623430262,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
92,1623430263,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
93,1623430264,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
94,1623430265,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
95,1623430266,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
96,1623430267,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
97,1623430268,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
98,1623430269,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
99,1623430270,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
100,1623430271,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
101,1623430272,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
102,1623430273,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
103,1623430274,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
